Roll	State	Mumbai Indians-(MI)	Chennai Super Kings(CSK)	Kolkatta Knight Riders(KKR)	Royal Challengers Bangalore(RCB)	Kings XI Punjab(KXIP)	Rajasthan Royals(RR)	Delhi Daredevils(DD)	Sunrisers Hyderabad(SRH)	Deccan Chargers(DC)	Rising Pune Super Giants(RPS)	Gujarat Lions(GL)	Kerala Tuskers(KT)
1	CSK	12	win	6	7	7	6	5	2	4	0	0	1
2	DC	6	6	7	5	7	7	7	0	win	0	0	0
3	DD	11	11	12	12	11	10	win	6	4	2	1	1
4	GL	2	0	1	3	2	0	3	5	0	1	win	0
5	KKR	16	10	win	9	7	9	7	4	2	1	2	2
6	KT	Nil	1	Nil	2	1	1	1	0	1	0	0	0
7	KXIP	10	10	14	8	win	9	9	8	3	2	2	0
8	MI	win	10	5	8	10	6	9	5	4	4	2	1
9	RCB	13	12	10	win	12	7	6	6	6	2	2	0
10	RPS	2	0	2	2	2	0	2	1	0	win	3	0
11	RR	10	11	6	8	6	win	6	3	2	0	0	1
12	SRH	5	4	8	4	2	4	4	win	0	3	0	0
